model,metric,window,aic,bic,loglik,f_test_p_val,trend_test_p_val
gam_4_5,close_def_dist,10,75785.10045117316,-4688.11332658201,-37624.55022558658,,
gam_4_6,close_def_dist,1,381239.39776266576,-70744.7068570985,-190181.69888133288,,
gam_4_6,close_def_dist,2,331736.9765280795,-52816.90584459866,-165439.48826403974,,
gam_4_6,close_def_dist,3,285097.59889625147,-45048.784843992675,-142126.79944812573,,
gam_4_6,close_def_dist,4,243421.02977416362,-28997.113978152745,-121303.51488708181,,
gam_4_6,close_def_dist,5,204732.4814648945,-24563.334211040637,-101968.24073244724,,
gam_4_6,close_def_dist,6,170619.9883259263,-22570.584988629504,-84929.99416296315,,
gam_4_6,close_def_dist,7,141295.87927212127,-15992.934094948287,-70294.93963606063,,
gam_4_6,close_def_dist,8,115933.92062971625,-12080.977089309134,-57635.96031485812,,
gam_4_6,close_def_dist,9,94387.99523916787,-6011.094752852368,-46896.99761958393,,
gam_4_6,close_def_dist,10,75779.5861741215,-4747.032855366851,-37620.79308706075,,
ols_cat,avg_def_dist,1,443779.87846563954,447877.5420899794,-221444.93923281977,0.863591675175019,3.271250690402706e-51
ols_cat,avg_def_dist,2,386340.96989783464,390304.1479420115,-192733.48494891732,0.3963513292902101,1.492572745339741e-24
ols_cat,avg_def_dist,3,332587.1464153978,336422.77131850406,-165863.5732076989,0.07930904869543653,1.2622482369075182e-07
ols_cat,avg_def_dist,4,284359.8938986636,287995.71954727895,-141764.9469493318,0.07389596897364699,3.8746628624369696e-23
ols_cat,avg_def_dist,5,239936.28574934672,243424.23946103675,-119562.14287467336,0.15836751004017477,3.7495889080153984e-111
ols_cat,avg_def_dist,6,200398.01969063273,203670.76327496074,-99810.00984531637,0.022708378569759408,5.156062167073996e-85
ols_cat,avg_def_dist,7,166280.11767366875,169266.21033924833,-82777.05883683437,0.0010787517349904767,6.508758506682336e-47
ols_cat,avg_def_dist,8,136787.1549577564,139533.757256266,-68051.5774788782,0.21270450522116052,7.067342886873287e-48
ols_cat,avg_def_dist,9,111504.10322356832,113922.04040008628,-55443.05161178416,0.08316073702014912,1.9039693031848135e-24
ols_cat,avg_def_dist,10,89395.18541952595,91541.05088524958,-44415.592709762976,0.061590484889211046,4.3155653131562893e-16
ols,avg_def_dist,1,443779.87846563954,447877.5420899794,-221444.93923281977,,
ols,avg_def_dist,2,386339.2444313072,390293.35341817467,-192733.6222156536,,
ols,avg_def_dist,3,332584.98620528495,336402.7709925628,-165864.49310264247,,
ols,avg_def_dist,4,284355.5978549261,287965.1404265635,-141765.79892746304,,
ols,avg_def_dist,5,239933.30495608255,243386.89459179534,-119564.65247804127,,
ols,avg_def_dist,6,200396.9123926174,203627.58986403633,-99814.4561963087,,
ols,avg_def_dist,7,166283.9945659693,169220.7303279856,-82784.99728298465,,
