metric,aic,loglik,f_test_p_val_make,f_test_p_val_miss,f_test_p_val_asym
close_def_dist,381223.3311221531,-190166.66556107654,1.848693815220778e-21,1.404700453859221e-30,2.8404295099007824e-06
avg_def_dist,443779.87846563954,-221444.93923281977,6.250686754863302e-224,3.743788018849268e-232,0.8548798577480128
def_hull_area,939736.9143937039,-469423.45719685196,8.691251842859796e-81,1.5086569796784915e-74,0.1843386815420006
